ID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Section,Topic,Difficulty,Date,Shift
1,What is the bond order of the O2 molecule?,1,2,3,4,B,Physical Chemistry,Molecular Orbital Theory,Hard,15-05-2020,Shift 1
2,What is the major product of the reaction between 1-butyne and H2 in the presence of a catalyst?,Butane,2-Butene,1-Butene,Butyne,B,Organic Chemistry,Alkenes and Alkynes,Hard,15-05-2020,Shift 1
3,What is the pH of pure water at 25 Degree Celcius?,7,0,14,10,A,Physical Chemistry,Acids & Bases,Easy,15-05-2020,Shift 1
4,Which of the following compounds has the highest boiling point?,CH3OH,C2H5OH,C3H7OH,C4H9OH,D,Organic Chemistry,Alcohols & Phenols,Hard,16-05-2020,Shift 2
5,Calculate the degree of unsaturation in C8H10.,3,4,5,6,B,Organic Chemistry,Hydrocarbons,Hard,16-05-2020,Shift 2
6,Which of the following is a strong acid?,HCl,CH3COOH,H2CO3,NH3,A,Inorganic Chemistry,Acids & Bases,Easy,16-05-2020,Shift 2
7,What is the hybridization of the central atom in SF4?,sp,sp2,sp3,sp3d,D,Inorganic Chemistry,Chemical Bonding,Hard,17-05-2020,Shift 1
8,What is the IUPAC name of the compound with the formula C5H10O?,Pentanal,2-Pentanone,3-Pentanone,1-Pentanol,B,Organic Chemistry,Functional Groups,Hard,17-05-2020,Shift 1
9,What is the molecular formula of glucose?,C6H12O6,C5H10O5,C6H10O5,C6H12O5,A,Organic Chemistry,Carbohydrates,Easy,17-05-2020,Shift 1
10,Which of the following is a characteristic of transition metals?,High electronegativity,Variable oxidation states,Low melting points,All of the above,B,Inorganic Chemistry,d-Block Elements,Hard,18-05-2020,Shift 2
11,Which gas is produced during the electrolysis of water?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,B,Physical Chemistry,Electrochemistry,Easy,18-05-2020,Shift 2
12,Which of the following compounds can undergo hydrogenation?,Benzene,Cyclohexene,Both A and B,Neither A nor B,C,Organic Chemistry,Aromatic Compounds,Hard,18-05-2020,Shift 2
13,What is the main product of the reaction between an alcohol and an acid?,Ester,Ether,Aldehyde,Ketone,A,Organic Chemistry,Alcohols & Phenols,Medium,19-05-2020,Shift 1
14,What is the product of the reaction between an alcohol and a carboxylic acid?,Ester,Ether,Aldehyde,Ketone,A,Organic Chemistry,Alcohols & Phenols,Hard,19-05-2020,Shift 1
15,What is the coordination number of the central atom in [Co(NH3)6]Cl3?,4,6,8,2,B,Inorganic Chemistry,Coordination Compounds,Hard,19-05-2020,Shift 1
16,Which of the following is a characteristic of ionic compounds?,High melting point,Low solubility,Poor conductivity,Low boiling point,A,Inorganic Chemistry,Chemical Bonding,Medium,20-05-2020,Shift 2
17,What is the mechanism of the reaction between an alkene and HBr?,Electrophilic addition,Nucleophilic substitution,Free radical substitution,Elimination,A,Organic Chemistry,Alkenes and Alkynes,Hard,20-05-2020,Shift 2
18,Which of the following is a Lewis base?,BF3,H2O,CO2,SO2,B,Inorganic Chemistry,Acid-Base Chemistry,Hard,20-05-2020,Shift 2
19,What is the oxidation state of nitrogen in NH4+?,-3,3,5,0,A,Inorganic Chemistry,Redox Reactions,Easy,21-05-2020,Shift 1
20,What is the major product of the reaction of benzene with CH3Cl in the presence of AlCl3?,Toluene,Chlorobenzene,Benzyl chloride,Ethylbenzene,A,Organic Chemistry,Aromatic Compounds,Hard,21-05-2020,Shift 1
21,What is the oxidation state of chromium in K2Cr2O7?,2,3,6,7,C,Inorganic Chemistry,Redox Reactions,Hard,21-05-2020,Shift 1
22,Which of the following is a saturated hydrocarbon?,Ethylene,Ethane,Acetylene,Benzene,B,Organic Chemistry,Hydrocarbons,Easy,22-05-2020,Shift 2
23,Which of the following is a characteristic of aromatic compounds?,Non-planar structure,High reactivity,Delocalized,All of the above,C,Organic Chemistry,Aromaticity,Hard,22-05-2020,Shift 2
24,Which of the following compounds is an example of a chelating agent?,EDTA,NaCl,HCl,KBr,A,Inorganic Chemistry,Coordination Chemistry,Hard,22-05-2020,Shift 2
25,What is the main product of the reaction between benzene and nitric acid?,Nitrobenzene,Benzene,Aniline,Toluene,A,Organic Chemistry,Aromatic Compounds,Hard,23-05-2020,Shift 1
26,What is the product of the reaction between an aldehyde and a primary amine?,Imine,Enamine,Amide,Alcohol,A,Organic Chemistry,Aldehydes & Ketones,Hard,23-05-2020,Shift 1
27,What is the primary use of sulfuric acid?,Fertilizers,Detergents,Food preservation,Cleaning agents,A,Inorganic Chemistry,Industrial Chemistry,Medium,23-05-2020,Shift 1
28,Which of the following is a characteristic of amphoteric oxides?,Reacts with acids only,Reacts with bases only,Reacts with both acids and bases,Does not react with either,C,Inorganic Chemistry,Oxides,Hard,24-05-2020,Shift 2
29,What is the hybridization of the carbon atom in ethylene (C2H4)?,sp,sp2,sp3,sp3d,B,Organic Chemistry,Chemical Bonding,Hard,24-05-2020,Shift 2
30,Which of the following is a property of metals?,Brittle,Ductile,Poor conductor,Low density,B,Inorganic Chemistry,Metals,Easy,24-05-2020,Shift 2
