ID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Subject,Section,Topic,Difficulty,Date,Shift
1,What is the bond order of the O2 molecule?,1,2,3,4,B,Chemistry,Physical Chemistry,Molecular Orbital Theory,Hard,15-05-2020,Shift 1
2,What is the major product of the reaction between 1-butyne and H2 in the presence of a catalyst?,Butane,2-Butene,1-Butene,Butyne,B,Chemistry,Organic Chemistry,Alkenes and Alkynes,Hard,15-05-2020,Shift 1
3,What is the pH of pure water at 25 Degree Celcius?,7,0,14,10,A,Chemistry,Physical Chemistry,Acids & Bases,Easy,15-05-2020,Shift 1
4,Which of the following compounds has the highest boiling point?,CH3OH,C2H5OH,C3H7OH,C4H9OH,D,Chemistry,Organic Chemistry,Alcohols & Phenols,Hard,16-05-2020,Shift 2
5,Calculate the degree of unsaturation in C8H10.,3,4,5,6,B,Chemistry,Organic Chemistry,Hydrocarbons,Hard,16-05-2020,Shift 2
6,Which of the following is a strong acid?,HCl,CH3COOH,H2CO3,NH3,A,Chemistry,Inorganic Chemistry,Acids & Bases,Easy,16-05-2020,Shift 2
7,What is the hybridization of the central atom in SF4?,sp,sp2,sp3,sp3d,D,Chemistry,Inorganic Chemistry,Chemical Bonding,Hard,17-05-2020,Shift 1
8,What is the IUPAC name of the compound with the formula C5H10O?,Pentanal,2-Pentanone,3-Pentanone,1-Pentanol,B,Chemistry,Organic Chemistry,Functional Groups,Hard,17-05-2020,Shift 1
9,What is the molecular formula of glucose?,C6H12O6,C5H10O5,C6H10O5,C6H12O5,A,Chemistry,Organic Chemistry,Carbohydrates,Easy,17-05-2020,Shift 1
10,Which of the following is a characteristic of transition metals?,High electronegativity,Variable oxidation states,Low melting points,All of the above,B,Chemistry,Inorganic Chemistry,d-Block Elements,Hard,18-05-2020,Shift 2
11,Which gas is produced during the electrolysis of water?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,B,Chemistry,Physical Chemistry,Electrochemistry,Easy,18-05-2020,Shift 2
12,Which of the following compounds can undergo hydrogenation?,Benzene,Cyclohexene,Both A and B,Neither A nor B,C,Chemistry,Organic Chemistry,Aromatic Compounds,Hard,18-05-2020,Shift 2
13,What is the main product of the reaction between an alcohol and an acid?,Ester,Ether,Aldehyde,Ketone,A,Chemistry,Organic Chemistry,Alcohols & Phenols,Medium,19-05-2020,Shift 1
